scenario,run_id,query_id,query_text,retrieved_count,retrieved_items
S1,1,1,prod-db-primary metadata,5,"[{'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries', 'category': 'dependency', 'canonical_id': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries'}]"
S1,1,2,prod-db-primary dependencies,5,"[{'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}]"
S1,1,3,prod-db-replica metadata,5,"[{'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries', 'category': 'dependency', 'canonical_id': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries'}, {'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
S1,1,4,prod-db-replica dependencies,5,"[{'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries', 'category': 'dependency', 'canonical_id': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries'}, {'memory': 'Development instances are independent with no production dependencies', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}]"
S1,1,5,dev-db-1 metadata,5,"[{'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'DB instance type: db.t3.medium', 'category': 'metadata', 'canonical_id': 'dev-db-1: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
S1,1,6,dev-db-1 dependencies,5,"[{'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S1,1,7,dev-db-2 metadata,5,"[{'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'DB instance type: db.t3.medium', 'category': 'metadata', 'canonical_id': 'dev-db-1: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
S1,1,8,dev-db-2 dependencies,5,"[{'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S1,1,9,dev-db-3 metadata,5,"[{'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'DB instance type: db.t3.medium', 'category': 'metadata', 'canonical_id': 'dev-db-1: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
S1,1,10,dev-db-3 dependencies,5,"[{'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'DB instance type: db.t3.medium', 'category': 'metadata', 'canonical_id': 'dev-db-1: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
